-- 生产程序 --,2025/4/19 13:57,,,,,
程序名,CPE-EP40-EBOM-20250410-BOT.iss,用户ID,smt,,,
基板ID,,生产线名,6L,,,
< 吸取数据 >,,,,,,
[#1(RX-8)],,,,,,
No,供应,编号,元件名,供料器类型,贴片数,贴片ID
42,左前面,9,TMI3113B,RF 8mm 4mm(4*1) M,1,U2
43,左前面,10,RC0402FR-07470RL,RF 8mm 2mm(2*1) M,1,R8528
44,左前面,11,CC0402MRX5R7BB475,RF 8mm 2mm(2*1) M,29,"C9658,C9661,C9667,C9663,C9666,C9670,C67,C2104,C1414,C1013,C1006,C1409,C1103,C1102,C1413,C9803,C6718,C6721,C6711,C4007,C4004,C1001,C9806,C9776,C6918,C8528,C8527,C6824,C6817"
45,左前面,12,CC0402KRX5R6BB105,RF 8mm 2mm(2*1) M,31,"C2505,C2510,C9943,C63,C2117,C2118,C2139,C2127,C2105,C2109,C2100,C2103,C2108,C3331,C1603,C1204,C6812,C6811,C6712,C1214,C1206,C1007,C1008,C1208,C8529,C9797,C6910,C8522,C8526,C1211,C3310"
46,左前面,13,CC0402MRX5R6BB106,RF 8mm 2mm(2*1) M,22,"C55,C9651,C412,TC8,TC4,TC11,C2107,C2128,C2131,C2120,C2140,C1011,C1016,C1020,C5401,C2211,C3307,C3308,C1104,C3309,C5400,C2213"
47,左前面,14,RC0805JR-0747KL,RF 8mm 4mm(4*1) M,1,R10137
48,左前面,15,RC0402FR-0710KL,RF 8mm 2mm(2*1) M,34,"R8515,R8520,R8518,R8533,R8525,R2206,R2208,R5506,R5507,R5505,R5504,R391,R386,R390,R1512,R4006,R49,R45,R66,R10236,R9830,R9764,R9765,R10087,R9769,R9770,R10085,R9301,R6961,R6960,R2111,R4005,R28,R27"
49,左前面,16,RC0402JR-070RL,RF 8mm 2mm(2*1) M,54,"R9824,R10107,R10106,R10102,R10103,R10113,R10111,R10110,R10112,R10134,R10133,R10136,R10246,R10245,R6839,R6826,R6740,R6739,R2302,R6727,R1511,R1513,R9892,R9984,R6920,R10090,R1610,R1611,R10073,R9876,R10208,R10228,R9836,R9801,R9800,R9799,R9798,R10135,R187,R178,R50,R51,R10225,R10165,R10164,R3322,R3317,R3319,R10004,R10003,R10005,R3316,R3318,R6840"
50,左前面,17,RC0402FR-075K1L,RF 8mm 2mm(2*1) M,1,R9910
51,左前面,18,CC0402KRX7R9BB473,RF 8mm 2mm(2*1) M,1,C106
52,左前面,19,RC0402JR-07100RL,RF 8mm 2mm(2*1) M,1,R10272
53,左前面,20,RC0805JR-0710KL,RF 8mm 4mm(4*1) M,1,R10140
54,左前面,21,RC0805JR-07100KL,RF 8mm 4mm(4*1) M,1,R10138
55,左前面,22,RC0402FR-0762KL,RF 8mm 2mm(2*1) M,1,R104
56,左前面,23,RC0805JR-0720KL,RF 8mm 4mm(4*1) M,1,R10144
57,左前面,24,RC1206JR-070RL,RF 8mm 4mm(4*1) M,1,R241
58,左前面,25,FNR3015S4R7MT,RF 8mm 4mm(4*1) M,1,L1
59,左前面,26,CC1206KKX5R9BB106,RF 8mm 4mm(4*1) M,21,"C9710,C9709,C1,C2,C6920,C6921,C9932,C9564,C403,C9878,C3,C9875,C9699,C9698,C9933,C9721,C9720,C201,C200,C9906,C9908"
,,,,,,
60,右前面,2,CC1808KKX7REBB102,RF 12mm 4mm(4*1) M,2,"C9762,C9760"
61,右前面,4,FXL0530-2R2-M,RF 12mm 4mm(4*1) M,4,"L8750,L8,L19,L8749"
62,右前面,6,MT3608L,RF 8mm 4mm(4*1) M,1,U9580
63,右前面,7,RC0805JR-070RL,RF 8mm 4mm(4*1) M,1,R2523
64,右前面,8,RC0805FR-07499KL,RF 8mm 4mm(4*1) M,1,R10139
65,右前面,9,2SK3018,RF 8mm 4mm(4*1) M,1,Q4
66,右前面,10,LED-BLUE,RF 8mm 4mm(4*1) M,1,LED9300
67,右前面,11,CC1206KKX7RDBB102,RF 8mm 4mm(4*1) M,11,"C9782,C9794,C9844,C9838,C9837,C9836,C359,C9842,C9841,C9840,C9839"
68,右前面,12,RC0603FR-0775RL,RF 8mm 4mm(4*1) M,9,"R10036,R10035,R10034,R10033,R10040,R10039,R10038,R10037,R124"
69,右前面,13,RC1206FR-0775RL,RF 8mm 4mm(4*1) M,2,"R9941,R9980"
70,右前面,14,RC1206FR-071KL,RF 8mm 4mm(4*1) M,2,"R54,R9894"
71,右前面,15,1206L050/30NR,RF 8mm 4mm(4*1) M,3,"F9,F5,F10"
72,右前面,16,CC0603MRX5R6BB226,RF 8mm 4mm(4*1) M,22,"C9714,C9713,C8904,C8906,C9724,C9726,C9725,C6924,C6925,C6926,C9704,C9703,C1004,C1002,C1003,C1018,C1009,C1014,C1015,C1010,C1019,C2106"
73,右前面,17,RC0603JR-070RL,RF 8mm 4mm(4*1) M,25,"R10068,R10069,R10070,R10071,R164,R166,R174,R170,R9793,R9791,R9539,R266,R265,R9924,R268,R10032,R10030,R10028,R10027,R10044,R10043,R10042,R10041,R10066,R10067"
74,右前面,18,LMBT2222ALT1G,RF 8mm 4mm(4*1) M,9,"Q9508,Q9300,Q9509,Q6,Q9513,Q9512,Q2202,Q5503,Q5502"
75,右前面,19,BLM18KG121TN1D,RF 8mm 4mm(4*1) M,7,"LB6,L15,L8712,L8714,L8715,L8717,FB2104"
76,右前面,20,RC0805FR-071K5L,RF 8mm 4mm(4*1) M,4,"R9772,R9768,R9767,R9763"
77,右前面,21,WPM2015-3/TR,RF 8mm 4mm(4*1) M,2,"Q9516,Q2200"
78,右前面,22,GZ2012D152TF,RF 8mm 4mm(4*1) M,2,"FB9503,FB9510"
79,右前面,23,CC1206MKX5R5BB107,RF 8mm 4mm(4*1) M,6,"C9854,C9951,C9853,C9950,C9852,C9855"
80,右前面,24,BAT54A,RF 8mm 4mm(4*1) M,2,"D9573,D9568"
81,右前面,25,CC0805KKX7R0BB105,RF 8mm 4mm(4*1) M,2,"C9575,C9631"
82,右前面,26,CC0805KKX7R0BB104,RF 8mm 4mm(4*1) M,2,"C9879,C9881"
83,右前面,27,CC0805MKX5R8BB226,RF 8mm 4mm(4*1) M,6,"C207,C208,C9851,C9944,C9934,C9935"
[#3(RS-1R)],,,,,,
No,供应,编号,元件名,供料器类型,贴片数,贴片ID
84,前面,5,91302-55-067R2M,RF 44mm 16mm(16*1) M,1,J6
85,前面,10,NANO-SIM-7P,RF 24mm 16mm(8*2) M,1,J9918
86,前面,13,GL850G-HHY22,RF 24mm 12mm(12*1) M,1,U7
87,前面,16,ISO3082DWRTPT7487-SOBR,RF 24mm 12mm(12*1) M,2,"U9512,U9513"
88,前面,19,PI6C557-05BLE,RF 16mm 8mm(8*1) M,1,U8500
89,前面,21,SN74LVC14APWR,RF 16mm 8mm(8*1) M,1,U17
90,前面,23,MAX3232IPWRTPT3232E-TS3R,RF 16mm 8mm(8*1) M,1,U9509
91,前面,25,MDA1050-150M,RF 16mm 12mm(12*1) M,2,"L27,L8751"
92,前面,27,DG3R090M,RF 12mm 4mm(4*1) M,4,"FV5,FV6,FV7,FV8"
93,前面,29,SMBJ36CA,RF 12mm 4mm(4*1) M,2,"T2,T4"
94,前面,31,DSHP-01-TS-GER,RF 12mm 4mm(4*1) M,3,"SW10,SW11,SW9"
95,前面,33,SB10200,RF 12mm 4mm(4*1) M,5,"D1,D50,D9596,D9608,D9607"
96,前面,35,SMBJ12CA,RF 12mm 4mm(4*1) M,5,"D9515,D9576,D9522,D9579,D9605"
97,前面,37,ISO7421DRTPT7721,RF 12mm 8mm(8*1) M,6,"U9528,U9529,U9582,U9581,U9584,U9583"
98,前面,39,BEP0080SC,RF 12mm 4mm(4*1) M,8,"D9520,D9519,D9523,D9521,D9599,D9600,D9603,D9604"
99,前面,41,SMBJ70CA,RF 12mm 4mm(4*1) M,8,"D9575,D9577,D9578,D9580,U9543,U9542,U9575,U9578"
100,前面,43,LTV-217-TP1-B-G,RF 12mm 8mm(8*1) M,2,"U9569,U9572"
101,前面,45,DLW43SH510XK2LACMA4532-510Y,RF 12mm 4mm(4*1) M,2,"L8713,L8716"
102,前面,47,RT6365GSP,RF 12mm 8mm(8*1) M,2,"U8,U9595"
103,前面,49,ELM440A(TA)-VG,RF 12mm 8mm(8*1) M,2,"U13,U15"
104,前面,51,1SMAF4757A,RF 12mm 4mm(4*1) M,1,PD2
105,前面,53,RJGT102WDP8,RF 12mm 8mm(8*1) M,1,U9551
106,前面,55,S6125-F-10A,RF 12mm 4mm(4*1) M,1,F1
